id,name,email,password,role,maxOpenLeads,isAvailable,onLeave,delegatedUserId,managerId,department,territory,team,emailAlias,createdAt,updatedAt,skills,weight,lastAssignedAt,dedicatedEmail,dedicatedPhone,status,experienceYears,experienceTier,averageFirstResponseMinutes,slaComplianceRate,managerPerformanceRating,recentHighValueLeadCount,recentLeadValueAssigned
63fa2b66-da53-4776-811f-81daad0b4364,Helena Rostova,helena@nexus.com,$2b$10$vXVey6bet0T6.Kq4OtsA7OcwoxEAJXHwPMdkOA53y4tLsoRTaJp2q,sales_manager,50,t,f,,,EMEA & APAC Sales,EMEA / APAC,,,2026-08-05 11:08:05.615+00,2026-08-05 11:08:05.615+00,,100,,,,Available,2.0,Sales Representative,15.0,0.9500,4.00,0,0.00
42a679ed-ba3b-4b85-bf6a-9d83beb83b78,Liam Carter,liamcarter@nexus.com,$2b$10$vXVey6bet0T6.Kq4OtsA7OcwoxEAJXHwPMdkOA53y4tLsoRTaJp2q,sales_rep,35,t,f,,7df2b1eb-287b-4790-bc51-271d444a3d4e,Direct Enterprise Sales,North America - East,,,2026-08-05 11:08:05.852+00,2026-08-05 11:08:05.852+00,,100,,,,Available,2.0,Sales Representative,15.0,0.9500,4.00,0,0.00
af8f43bb-c608-4c5a-9968-fdc97c51a924,Emma Watson,emmawatson@nexus.com,$2b$10$vXVey6bet0T6.Kq4OtsA7OcwoxEAJXHwPMdkOA53y4tLsoRTaJp2q,sales_rep,35,t,f,,7df2b1eb-287b-4790-bc51-271d444a3d4e,Direct Enterprise Sales,North America - West,,,2026-08-05 11:08:06.326+00,2026-08-05 11:08:06.326+00,,100,,,,Available,2.0,Sales Representative,15.0,0.9500,4.00,0,0.00
6623fa17-a8cc-4aa2-a9ff-0f08a8c7e6f2,Olivia Davis,oliviadavis@nexus.com,$2b$10$vXVey6bet0T6.Kq4OtsA7OcwoxEAJXHwPMdkOA53y4tLsoRTaJp2q,sales_rep,35,t,f,,7df2b1eb-287b-4790-bc51-271d444a3d4e,Direct Enterprise Sales,North America - Central,,,2026-08-05 11:08:06.803+00,2026-08-05 11:08:06.803+00,,100,,,,Available,2.0,Sales Representative,15.0,0.9500,4.00,0,0.00
3e005293-abb2-40e3-bb8d-c83ea7c38f88,Ethan Hunt,ethanhunt@nexus.com,$2b$10$vXVey6bet0T6.Kq4OtsA7OcwoxEAJXHwPMdkOA53y4tLsoRTaJp2q,sales_rep,35,t,f,,7df2b1eb-287b-4790-bc51-271d444a3d4e,Direct Enterprise Sales,North America - East,,,2026-08-05 11:08:07.277+00,2026-08-05 11:08:07.277+00,,100,,,,Available,2.0,Sales Representative,15.0,0.9500,4.00,0,0.00
5579bbef-b890-4d99-91e2-e017decbd26e,Isabella Rose,isabellarose@nexus.com,$2b$10$vXVey6bet0T6.Kq4OtsA7OcwoxEAJXHwPMdkOA53y4tLsoRTaJp2q,sales_rep,35,t,f,,7df2b1eb-287b-4790-bc51-271d444a3d4e,Direct Enterprise Sales,North America - West,,,2026-08-05 11:08:07.75+00,2026-08-05 11:08:07.75+00,,100,,,,Available,2.0,Sales Representative,15.0,0.9500,4.00,0,0.00
5590f73f-33da-422a-98ed-8fd0fb6917f2,Noah Bennett,noahbennett@nexus.com,$2b$10$vXVey6bet0T6.Kq4OtsA7OcwoxEAJXHwPMdkOA53y4tLsoRTaJp2q,sales_rep,35,t,f,,63fa2b66-da53-4776-811f-81daad0b4364,Direct Enterprise Sales,EMEA - UK & Ireland,,,2026-08-05 11:08:08.231+00,2026-08-05 11:08:08.231+00,,100,,,,Available,2.0,Sales Representative,15.0,0.9500,4.00,0,0.00
23ed5e20-b1a5-47fc-ba66-f316a7583f6e,Sophia Chen,sophiachen@nexus.com,$2b$10$vXVey6bet0T6.Kq4OtsA7OcwoxEAJXHwPMdkOA53y4tLsoRTaJp2q,sales_rep,35,t,f,,63fa2b66-da53-4776-811f-81daad0b4364,Direct Enterprise Sales,APAC - Greater China,,,2026-08-05 11:08:10.612+00,2026-08-05 11:08:10.612+00,,100,,,,Available,2.0,Sales Representative,15.0,0.9500,4.00,0,0.00
957794e0-b1d0-41f9-844a-a7637166bdb2,Mia Al-Mansoor,miaalmansoor@nexus.com,$2b$10$vXVey6bet0T6.Kq4OtsA7OcwoxEAJXHwPMdkOA53y4tLsoRTaJp2q,sales_rep,35,t,f,,63fa2b66-da53-4776-811f-81daad0b4364,Direct Enterprise Sales,EMEA - Middle East,,,2026-08-05 11:08:11.56+00,2026-08-05 11:08:11.56+00,,100,,,,Available,2.0,Sales Representative,15.0,0.9500,4.00,0,0.00
604bb8ab-99ba-4134-8053-815900a040c0,Benjamin Thorne,benjaminthorne@nexus.com,$2b$10$vXVey6bet0T6.Kq4OtsA7OcwoxEAJXHwPMdkOA53y4tLsoRTaJp2q,sales_rep,35,t,f,,7df2b1eb-287b-4790-bc51-271d444a3d4e,Direct Enterprise Sales,North America - Canada,,,2026-08-05 11:08:12.032+00,2026-08-05 11:08:12.032+00,,100,,,,Available,2.0,Sales Representative,15.0,0.9500,4.00,0,0.00
